country;region;Provincia;Comuna;latitude;longitude
Chile;Coquimbo;Elqui;Andacollo;-30.230;-71.086
Chile;Coquimbo;Elqui;Coquimbo;-29.971;-71.307
Chile;Coquimbo;Elqui;La Higuera;-29.500;-71.283
Chile;Coquimbo;Elqui;La Serena;-29.907;-71.247
Chile;Coquimbo;Elqui;Paiguano;-30.038;-70.507
Chile;Coquimbo;Elqui;Vicuña;-30.019;-70.715
Chile;Coquimbo;Limarí;Combarbalá;-31.180;-71.004
Chile;Coquimbo;Limarí;Monte Patria;-30.775;-70.943
Chile;Coquimbo;Limarí;Ovalle;-30.599;-71.189
Chile;Coquimbo;Limarí;Punitaqui;-30.833;-71.260
Chile;Coquimbo;Limarí;Río Hurtado;-30.273;-70.667
Chile;La Araucanía;Cautín;Carahue;-38.707;-73.160
Chile;La Araucanía;Cautín;Cholchol;-38.600;-72.850
Chile;La Araucanía;Cautín;Cunco;-38.930;-72.027
Chile;La Araucanía;Cautín;Curarrehue;-39.359;-71.588
Chile;La Araucanía;Cautín;Freire;-38.954;-72.622
Chile;La Araucanía;Cautín;Galvarino;-38.400;-72.783
Chile;La Araucanía;Cautín;Gorbea;-39.095;-72.672
Chile;La Araucanía;Cautín;Lautaro;-38.529;-72.427
Chile;La Araucanía;Cautín;Loncoche;-39.354;-72.628
Chile;La Araucanía;Cautín;Melipeuco;-38.843;-71.687
Chile;La Araucanía;Cautín;Nueva Imperial;-38.745;-72.950
Chile;La Araucanía;Cautín;Padre Las Casas;-38.766;-72.593
Chile;La Araucanía;Cautín;Perquenco;-38.417;-72.383
Chile;La Araucanía;Cautín;Pitrufquén;-38.983;-72.643
Chile;La Araucanía;Cautín;Pucón;-39.282;-71.954
Chile;La Araucanía;Cautín;Saavedra;-38.783;-73.400
Chile;La Araucanía;Cautín;Temuco;-38.727;-72.599
Chile;La Araucanía;Cautín;Teodoro Schmidt;-38.967;-73.050
Chile;La Araucanía;Cautín;Toltén;-39.217;-73.217
Chile;La Araucanía;Cautín;Vilcún;-38.650;-72.233
Chile;La Araucanía;Cautín;Villarrica;-39.280;-72.218
Chile;La Araucanía;Malleco;Angol;-37.803;-72.702
Chile;La Araucanía;Malleco;Collipulli;-37.953;-72.432
Chile;La Araucanía;Malleco;Curacautín;-38.432;-71.890
Chile;La Araucanía;Malleco;Ercilla;-38.050;-72.383
Chile;La Araucanía;Malleco;Lonquimay;-38.433;-71.233
Chile;La Araucanía;Malleco;Los Sauces;-37.967;-72.833
Chile;La Araucanía;Malleco;Lumaco;-38.163;-72.904
Chile;La Araucanía;Malleco;Purén;-38.022;-73.070
Chile;La Araucanía;Malleco;Renaico;-37.667;-72.583
Chile;La Araucanía;Malleco;Traiguén;-38.248;-72.675
Chile;La Araucanía;Malleco;Victoria;-38.230;-72.343
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Codegua;-34.033;-70.667
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Coinco;-34.273;-70.953
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Coltauco;-34.297;-71.092
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Doñihue;-34.185;-70.884
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Graneros;-34.063;-70.721
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Las Cabras;-34.285;-71.310
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Machalí;-34.185;-70.662
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Malloa;-34.445;-70.945
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Mostazal;-33.977;-70.709
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Olivar;-34.214;-70.819
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Peumo;-34.389;-71.171
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Pichidegua;-34.357;-71.287
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Quinta de Tilcoco;-34.357;-70.969
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Rancagua;-34.162;-70.741
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Rengo;-34.402;-70.856
Chile;Libertador General Bernardo O'Higgins;Cachapoal;Requínoa;-34.283;-70.806
Chile;Libertador General Bernardo O'Higgins;Cachapoal;San Vicente;-34.083;-71.750
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;La Estrella;-34.200;-71.667
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;Litueche;-34.119;-71.728
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;Marchihue;-34.400;-71.633
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;Navidad;-33.950;-71.833
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;Paredones;-34.661;-71.894
Chile;Libertador General Bernardo O'Higgins;Cardenal Caro;Pichilemu;-34.402;-72.009
Chile;Libertador General Bernardo O'Higgins;Colchagua;Chépica;-34.733;-71.283
Chile;Libertador General Bernardo O'Higgins;Colchagua;Chimbarongo;-34.708;-71.042
Chile;Libertador General Bernardo O'Higgins;Colchagua;Lolol;-34.731;-71.636
Chile;Libertador General Bernardo O'Higgins;Colchagua;Nancagua;-34.649;-71.203
Chile;Libertador General Bernardo O'Higgins;Colchagua;Palmilla;-34.604;-71.358
Chile;Libertador General Bernardo O'Higgins;Colchagua;Peralillo;-34.483;-71.483
Chile;Libertador General Bernardo O'Higgins;Colchagua;Placilla;-34.633;-71.117
Chile;Libertador General Bernardo O'Higgins;Colchagua;Pumanque;-34.605;-71.644
Chile;Libertador General Bernardo O'Higgins;Colchagua;San Fernando;-34.584;-70.987
Chile;Libertador General Bernardo O'Higgins;Colchagua;Santa Cruz;-34.631;-71.359
Chile;Los Lagos;Chiloé;Ancud;-41.877;-73.814
Chile;Los Lagos;Chiloé;Castro;-42.478;-73.779
Chile;Los Lagos;Chiloé;Chonchi;-42.626;-73.781
Chile;Los Lagos;Chiloé;Curaco de Vélez;-42.434;-73.582
Chile;Los Lagos;Chiloé;Dalcahue;-42.374;-73.651
Chile;Los Lagos;Chiloé;Puqueldón;-42.604;-73.684
Chile;Los Lagos;Chiloé;Queilén;-42.874;-73.470
Chile;Los Lagos;Chiloé;Quellón;-43.121;-73.608
Chile;Los Lagos;Chiloé;Quemchi;-42.142;-73.478
Chile;Los Lagos;Chiloé;Quinchao;-42.479;-73.497
Chile;Los Lagos;Llanquihue;Calbuco;-41.758;-73.151
Chile;Los Lagos;Llanquihue;Cochamó;-41.500;-72.317
Chile;Los Lagos;Llanquihue;Fresia;-41.153;-73.420
Chile;Los Lagos;Llanquihue;Frutillar;-41.117;-73.100
Chile;Los Lagos;Llanquihue;Llanquihue;-41.266;-73.012
Chile;Los Lagos;Llanquihue;Los Muermos;-41.391;-73.465
Chile;Los Lagos;Llanquihue;Maullín;-41.618;-73.598
Chile;Los Lagos;Llanquihue;Puerto Montt;-41.454;-72.993
Chile;Los Lagos;Llanquihue;Puerto Varas;-41.323;-72.970
Chile;Los Lagos;Osorno;Osorno;-40.574;-73.126
Chile;Los Lagos;Osorno;Puerto Octay;-40.967;-72.900
Chile;Los Lagos;Osorno;Purranque;-40.909;-73.175
Chile;Los Lagos;Osorno;Puyehue;-40.717;-72.321
Chile;Los Lagos;Osorno;Río Negro;-41.967;-72.450
Chile;Los Lagos;Osorno;San Juan de la Costa;-40.501;-73.392
Chile;Los Lagos;Osorno;San Pablo;-40.400;-73.017
Chile;Los Lagos;Palena;Chaitén;-42.899;-72.667
Chile;Los Lagos;Palena;Futaleufú;-43.168;-71.848
Chile;Los Lagos;Palena;Hualaihué;-41.992;-72.667
Chile;Los Lagos;Palena;Palena;-43.623;-71.804
Chile;Los Ríos;Ranco;Futrono;-40.131;-72.396
Chile;Los Ríos;Ranco;Lago Ranco;-40.317;-72.500
Chile;Los Ríos;Ranco;La Unión;-40.292;-73.088
Chile;Los Ríos;Ranco;Río Bueno;-40.338;-72.957
Chile;Los Ríos;Valdivia;Corral;-39.867;-73.433
Chile;Los Ríos;Valdivia;Lanco;-39.447;-72.772
Chile;Los Ríos;Valdivia;Los Lagos;-41.920;-72.142
Chile;Los Ríos;Valdivia;Máfil;-39.650;-72.950
Chile;Los Ríos;Valdivia;Mariquina;-40.133;-72.333
Chile;Los Ríos;Valdivia;Paillaco;-40.068;-72.883
Chile;Los Ríos;Valdivia;Panguipulli;-39.642;-72.340
Chile;Los Ríos;Valdivia;Valdivia;-39.800;-73.233
Chile;Magallanes y de La Antártica Chilena;Antártica Chilena;Antártica;-55.000;-67.500
Chile;Magallanes y de La Antártica Chilena;Antártica Chilena;Cabo de Hornos;-54.947;-67.607
Chile;Magallanes y de La Antártica Chilena;Magallanes;Laguna Blanca;-52.267;-71.183
Chile;Magallanes y de La Antártica Chilena;Magallanes;Punta Arenas;-53.148;-70.907
Chile;Magallanes y de La Antártica Chilena;Magallanes;Río Verde;-52.628;-71.477
Chile;Magallanes y de La Antártica Chilena;Magallanes;San Gregorio;-52.567;-70.067
Chile;Magallanes y de La Antártica Chilena;Tierra del Fuego;Porvenir;-53.298;-70.385
Chile;Magallanes y de La Antártica Chilena;Tierra del Fuego;Primavera;-52.886;-69.353
Chile;Magallanes y de La Antártica Chilena;Tierra del Fuego;Timaukel;-53.672;-69.710
Chile;Magallanes y de La Antártica Chilena;Ãšltima Esperanza;Natales;-51.733;-72.517
Chile;Magallanes y de La Antártica Chilena;Ãšltima Esperanza;Torres del Paine;-50.982;-72.499
Chile;Maule;Cauquenes;Cauquenes;-35.964;-72.317
Chile;Maule;Cauquenes;Chanco;-35.729;-72.530
Chile;Maule;Cauquenes;Pelluhue;-35.814;-72.574
Chile;Maule;Curicó;Curicó;-34.976;-71.224
Chile;Maule;Curicó;Hualañé;-34.983;-71.817
Chile;Maule;Curicó;Licantén;-34.983;-72.000
Chile;Maule;Curicó;Molina;-35.090;-71.279
Chile;Maule;Curicó;Rauco;-34.929;-71.311
Chile;Maule;Curicó;Romeral;-34.967;-71.133
Chile;Maule;Curicó;Sagrada Familia;-35.000;-71.383
Chile;Maule;Curicó;Teno;-34.873;-71.162
Chile;Maule;Curicó;Vichuquén;-34.823;-72.035
Chile;Maule;Linares;Colbún;-35.700;-71.417
Chile;Maule;Linares;Linares;-35.850;-71.585
Chile;Maule;Linares;Longaví;-35.966;-71.682
Chile;Maule;Linares;Parral;-36.147;-71.822
Chile;Maule;Linares;Retiro;-36.046;-71.759
Chile;Maule;Linares;San Javier;-35.050;-71.467
Chile;Maule;Linares;Villa Alegre;-35.665;-71.742
Chile;Maule;Linares;Yerbas Buenas;-35.750;-71.583
Chile;Maule;Talca;Constitución;-35.339;-72.414
Chile;Maule;Talca;Curepto;-35.083;-72.017
Chile;Maule;Talca;Empedrado;-35.591;-72.273
Chile;Maule;Talca;Maule;-35.516;-71.572
Chile;Maule;Talca;Pelarco;-35.378;-71.445
Chile;Maule;Talca;Pencahue;-35.391;-71.800
Chile;Maule;Talca;Río Claro;-35.217;-71.250
Chile;Maule;Talca;San Clemente;-35.534;-71.486
Chile;Maule;Talca;San Rafael;-35.317;-71.533
Chile;Maule;Talca;Talca;-35.423;-71.657
Chile;Región Metropolitana de Santiago;Chacabuco;Colina;-33.194;-70.668
Chile;Región Metropolitana de Santiago;Chacabuco;Lampa;-33.286;-70.878
Chile;Región Metropolitana de Santiago;Chacabuco;Tiltil;-33.085;-70.925
Chile;Región Metropolitana de Santiago;Cordillera;Pirque;-33.650;-70.564
Chile;Región Metropolitana de Santiago;Cordillera;Puente Alto;-33.616;-70.570
Chile;Región Metropolitana de Santiago;Cordillera;San José de Maipo;-33.644;-70.353
Chile;Región Metropolitana de Santiago;Maipo;Buin;-33.728;-70.739
Chile;Región Metropolitana de Santiago;Maipo;Calera de Tango;-33.628;-70.785
Chile;Región Metropolitana de Santiago;Maipo;Paine;-33.812;-70.723
Chile;Región Metropolitana de Santiago;Maipo;San Bernardo;-33.582;-70.687
Chile;Región Metropolitana de Santiago;Melipilla;Alhué;-34.033;-71.100
Chile;Región Metropolitana de Santiago;Melipilla;Curacaví;-33.399;-71.137
Chile;Región Metropolitana de Santiago;Melipilla;María Pinto;-33.515;-71.119
Chile;Región Metropolitana de Santiago;Melipilla;Melipilla;-33.689;-71.208
Chile;Región Metropolitana de Santiago;Melipilla;San Pedro;-33.900;-71.467
Chile;Región Metropolitana de Santiago;Santiago;Cerrillos;-34.533;-71.683
Chile;Región Metropolitana de Santiago;Santiago;Cerro Navia;-33.422;-70.735
Chile;Región Metropolitana de Santiago;Santiago;Conchalí;-33.380;-70.675
Chile;Región Metropolitana de Santiago;Santiago;El Bosque;-41.667;-73.317
Chile;Región Metropolitana de Santiago;Santiago;Estación Central;-33.459;-70.699
Chile;Región Metropolitana de Santiago;Santiago;Huechuraba;-33.368;-70.634
Chile;Región Metropolitana de Santiago;Santiago;Independencia;-33.413;-70.666
Chile;Región Metropolitana de Santiago;Santiago;La Cisterna;-33.529;-70.663
Chile;Región Metropolitana de Santiago;Santiago;La Florida;-33.525;-70.538
Chile;Región Metropolitana de Santiago;Santiago;La Granja;-20.900;-69.617
Chile;Región Metropolitana de Santiago;Santiago;La Pintana;-33.583;-70.634
Chile;Región Metropolitana de Santiago;Santiago;La Reina;-33.443;-70.532
Chile;Región Metropolitana de Santiago;Santiago;Las Condes;-33.400;-70.503
Chile;Región Metropolitana de Santiago;Santiago;Lo Barnechea;-33.352;-70.336
Chile;Región Metropolitana de Santiago;Santiago;Lo Espejo;-33.522;-70.687
Chile;Región Metropolitana de Santiago;Santiago;Lo Prado;-33.445;-70.726
Chile;Región Metropolitana de Santiago;Santiago;Macul;-33.487;-70.604
Chile;Región Metropolitana de Santiago;Santiago;Maipú;-33.490;-70.788
Chile;Región Metropolitana de Santiago;Santiago;Ñuñoa;-33.454;-70.604
Chile;Región Metropolitana de Santiago;Santiago;Pedro Aguirre Cerda;-33.583;-70.667
Chile;Región Metropolitana de Santiago;Santiago;Peñalolén;-33.482;-70.538
Chile;Región Metropolitana de Santiago;Santiago;Providencia;-33.435;-70.616
Chile;Región Metropolitana de Santiago;Santiago;Pudahuel;-33.411;-70.836
Chile;Región Metropolitana de Santiago;Santiago;Quilicura;-33.361;-70.729
Chile;Región Metropolitana de Santiago;Santiago;Quinta Normal;-33.427;-70.699
Chile;Región Metropolitana de Santiago;Santiago;Recoleta;-33.406;-70.640
Chile;Región Metropolitana de Santiago;Santiago;Renca;-33.398;-70.723
Chile;Región Metropolitana de Santiago;Santiago;San Joaquín;-33.491;-70.628
Chile;Región Metropolitana de Santiago;Santiago;San Miguel;-36.818;-71.966
Chile;Región Metropolitana de Santiago;Santiago;San Ramón;-25.351;-70.447
Chile;Región Metropolitana de Santiago;Santiago;Santiago;-33.425;-70.566
Chile;Región Metropolitana de Santiago;Santiago;Vitacura;-33.378;-70.562
Chile;Región Metropolitana de Santiago;Talagante;El Monte;-33.684;-71.017
Chile;Región Metropolitana de Santiago;Talagante;Isla de Maipo;-33.754;-70.886
Chile;Región Metropolitana de Santiago;Talagante;Padre Hurtado;-33.576;-70.800
Chile;Región Metropolitana de Santiago;Talagante;Peñaflor;-36.233;-72.333
Chile;Región Metropolitana de Santiago;Talagante;Talagante;-33.667;-70.931
Chile;Tarapacá;Iquique;Alto Hospicio;-20.257;-70.022
Chile;Tarapacá;Iquique;Iquique;-20.244;-70.139
Chile;Tarapacá;Tamarugal;Camiña;-20.483;-69.367
Chile;Tarapacá;Tamarugal;Colchane;-19.284;-68.675
Chile;Tarapacá;Tamarugal;Huara;-19.809;-69.972
Chile;Tarapacá;Tamarugal;Pica;-20.483;-69.378
Chile;Tarapacá;Tamarugal;Pozo Almonte;-20.291;-69.696
Chile;Valparaíso;Isla de Pascua;Isla de Pascua;-27.121;-109.366
Chile;Valparaíso;Los Andes;Calle Larga;-35.617;-71.683
Chile;Valparaíso;Los Andes;Los Andes;-32.837;-70.597
Chile;Valparaíso;Los Andes;Rinconada;-19.883;-68.867
Chile;Valparaíso;Los Andes;San Esteban;-32.805;-70.581
Chile;Valparaíso;Marga Marga;Limache;-33.003;-71.261
Chile;Valparaíso;Marga Marga;Olmué;-33.009;-71.170
Chile;Valparaíso;Marga Marga;Quilpué;-33.125;-71.241
Chile;Valparaíso;Marga Marga;Villa Alemana;-33.066;-71.329
Chile;Valparaíso;Petorca;Cabildo;-32.409;-71.080
Chile;Valparaíso;Petorca;La Ligua;-34.583;-72.000
Chile;Valparaíso;Petorca;Papudo;-32.470;-71.381
Chile;Valparaíso;Petorca;Petorca;-32.290;-70.950
Chile;Valparaíso;Petorca;Zapallar;-32.568;-71.438
Chile;Valparaíso;Quillota;Hijuelas;-32.855;-71.094
Chile;Valparaíso;Quillota;La Calera;-32.784;-71.204
Chile;Valparaíso;Quillota;La Cruz;-32.824;-71.244
Chile;Valparaíso;Quillota;Nogales;-32.736;-71.208
Chile;Valparaíso;Quillota;Quillota;-32.915;-71.264
Chile;Valparaíso;San Antonio;Algarrobo;-30.503;-71.083
Chile;Valparaíso;San Antonio;Cartagena;-34.167;-71.750
Chile;Valparaíso;San Antonio;El Quisco;-33.409;-71.649
Chile;Valparaíso;San Antonio;El Tabo;-33.480;-71.621
Chile;Valparaíso;San Antonio;San Antonio;-27.867;-70.050
Chile;Valparaíso;San Antonio;Santo Domingo;-33.708;-71.630
Chile;Valparaíso;San Felipe de Aconcagua;Catemu;-32.781;-70.969
Chile;Valparaíso;San Felipe de Aconcagua;Llaillay;-32.844;-70.957
Chile;Valparaíso;San Felipe de Aconcagua;Panquehue;-32.784;-70.837
Chile;Valparaíso;San Felipe de Aconcagua;Putaendo;-32.628;-70.716
Chile;Valparaíso;San Felipe de Aconcagua;San Felipe;-32.750;-70.713
Chile;Valparaíso;San Felipe de Aconcagua;Santa María;-38.817;-71.667
Chile;Valparaíso;Valparaíso;Casablanca;-33.325;-71.410
Chile;Valparaíso;Valparaíso;Concón;-32.960;-71.469
Chile;Valparaíso;Valparaíso;Juan Fernández;-33.633;-78.867
Chile;Valparaíso;Valparaíso;Puchuncaví;-32.748;-71.398
Chile;Valparaíso;Valparaíso;Quintero;-32.845;-71.467
Chile;Valparaíso;Valparaíso;Valparaíso;-33.050;-71.616
Chile;Valparaíso;Valparaíso;Viña del Mar;-33.025;-71.515
