Comunas;etnia;etnia2;frec;n;perc;lat;long
LA LIGUA;Changos;Otro;7;4725;0.001481481;-34.583;-72
CABILDO;Changos;Otro;1;4725;0.00021164;-32.409;-71.08
PETORCA;Changos;Otro;1;4725;0.00021164;-32.29;-70.95
QUILLOTA;Changos;Otro;3;4725;0.000634921;-32.915;-71.264
CALERA;Changos;Otro;2;4725;0.00042328;-32.784;-71.204
HIJUELAS;Changos;Otro;5;4725;0.001058201;-32.855;-71.094
LA CRUZ;Changos;Otro;2;4725;0.00042328;-32.824;-71.244
NOGALES;Changos;Otro;1;4725;0.00021164;-32.736;-71.208
SAN ANTONIO;Changos;Otro;1;4725;0.00021164;-27.867;-70.05
CARTAGENA;Changos;Otro;1;4725;0.00021164;-34.167;-71.75
EL TABO;Changos;Otro;1;4725;0.00021164;-33.48;-71.621
SAN FELIPE;Changos;Otro;1;4725;0.00021164;-32.75;-70.713
LLAILLAY;Changos;Otro;2;4725;0.00042328;-32.844;-70.957
QUILPUÉ;Changos;Otro;20;4725;0.004232804;-33.125;-71.241
LIMACHE;Changos;Otro;1;4725;0.00021164;-33.003;-71.261
VILLA ALEMANA;Changos;Otro;5;4725;0.001058201;-33.066;-71.329
RANCAGUA;Changos;Otro;10;4725;0.002116402;-34.162;-70.741
LAS CABRAS;Changos;Otro;1;4725;0.00021164;-34.285;-71.31
MACHALÍ;Changos;Otro;2;4725;0.00042328;-34.185;-70.662
PEUMO;Changos;Otro;2;4725;0.00042328;-34.389;-71.171
RENGO;Changos;Otro;1;4725;0.00021164;-34.402;-70.856
PICHILEMU;Changos;Otro;2;4725;0.00042328;-34.402;-72.009
TALCA;Changos;Otro;4;4725;0.000846561;-35.423;-71.657
SAN CLEMENTE;Changos;Otro;1;4725;0.00021164;-35.534;-71.486
LINARES;Changos;Otro;3;4725;0.000634921;-35.85;-71.585
CONCEPCIÓN;Changos;Otro;4;4725;0.000846561;-36.815;-73.029
CORONEL;Changos;Otro;3;4725;0.000634921;-36.982;-73.157
SAN PEDRO DE LA PAZ;Changos;Otro;3;4725;0.000634921;-36.864;-73.108
LOS ÁNGELES;Changos;Otro;1;4725;0.00021164;-36.944;-72.351
CABRERO;Changos;Otro;1;4725;0.00021164;-37.039;-72.399
LAJA;Changos;Otro;1;4725;0.00021164;-37.267;-72.7
TEMUCO;Changos;Otro;1;4725;0.00021164;-38.727;-72.599
PADRE LAS CASAS;Changos;Otro;3;4725;0.000634921;-38.766;-72.593
PUCÓN;Changos;Otro;1;4725;0.00021164;-39.282;-71.954
CURACAUTÍN;Changos;Otro;1;4725;0.00021164;-38.432;-71.89
VICTORIA;Changos;Otro;1;4725;0.00021164;-38.23;-72.343
PUERTO MONTT;Changos;Otro;5;4725;0.001058201;-41.454;-72.993
CALBUCO;Changos;Otro;2;4725;0.00042328;-41.758;-73.151
LOS MUERMOS;Changos;Otro;1;4725;0.00021164;-41.391;-73.465
CASTRO;Changos;Otro;2;4725;0.00042328;-42.478;-73.779
QUELLÓN;Changos;Otro;1;4725;0.00021164;-43.121;-73.608
PUNTA ARENAS;Changos;Otro;1;4725;0.00021164;-53.148;-70.907
TORRES DEL PAINE;Changos;Otro;1;4725;0.00021164;-50.982;-72.499
SANTIAGO;Changos;Otro;42;4725;0.008888889;-33.425;-70.566
CERRILLOS;Changos;Otro;1;4725;0.00021164;-34.533;-71.683
CERRO NAVIA;Changos;Otro;1;4725;0.00021164;-33.422;-70.735
CONCHALÍ;Changos;Otro;3;4725;0.000634921;-33.38;-70.675
ESTACIÓN CENTRAL;Changos;Otro;7;4725;0.001481481;-33.459;-70.699
HUECHURABA;Changos;Otro;3;4725;0.000634921;-33.368;-70.634
INDEPENDENCIA;Changos;Otro;7;4725;0.001481481;-33.413;-70.666
LA CISTERNA;Changos;Otro;1;4725;0.00021164;-33.529;-70.663
LA FLORIDA;Changos;Otro;21;4725;0.004444444;-33.525;-70.538
LA PINTANA;Changos;Otro;2;4725;0.00042328;-33.583;-70.634
LA REINA;Changos;Otro;2;4725;0.00042328;-33.443;-70.532
LAS CONDES;Changos;Otro;11;4725;0.002328042;-33.4;-70.503
LO BARNECHEA;Changos;Otro;2;4725;0.00042328;-33.352;-70.336
LO ESPEJO;Changos;Otro;1;4725;0.00021164;-33.522;-70.687
LO PRADO;Changos;Otro;2;4725;0.00042328;-33.445;-70.726
MACUL;Changos;Otro;8;4725;0.001693122;-33.487;-70.604
MAIPÚ;Changos;Otro;13;4725;0.002751323;-33.49;-70.788
ÑUÑOA;Changos;Otro;20;4725;0.004232804;-33.454;-70.604
PEDRO AGUIRRE CERDA;Changos;Otro;2;4725;0.00042328;-33.583;-70.667
PEÑALOLÉN;Changos;Otro;8;4725;0.001693122;-33.482;-70.538
PROVIDENCIA;Changos;Otro;16;4725;0.003386243;-33.435;-70.616
PUDAHUEL;Changos;Otro;4;4725;0.000846561;-33.411;-70.836
QUILICURA;Changos;Otro;6;4725;0.001269841;-33.361;-70.729
QUINTA NORMAL;Changos;Otro;3;4725;0.000634921;-33.427;-70.699
RECOLETA;Changos;Otro;4;4725;0.000846561;-33.406;-70.64
RENCA;Changos;Otro;11;4725;0.002328042;-33.398;-70.723
SAN JOAQUÍN;Changos;Otro;2;4725;0.00042328;-33.491;-70.628
SAN MIGUEL;Changos;Otro;5;4725;0.001058201;-36.818;-71.966
SAN RAMÓN;Changos;Otro;1;4725;0.00021164;-25.351;-70.447
VITACURA;Changos;Otro;1;4725;0.00021164;-33.378;-70.562
PUENTE ALTO;Changos;Otro;16;4725;0.003386243;-33.616;-70.57
COLINA;Changos;Otro;3;4725;0.000634921;-33.194;-70.668
LAMPA;Changos;Otro;4;4725;0.000846561;-33.286;-70.878
TILTIL;Changos;Otro;4;4725;0.000846561;-33.085;-70.925
SAN BERNARDO;Changos;Otro;10;4725;0.002116402;-33.582;-70.687
BUIN;Changos;Otro;2;4725;0.00042328;-33.728;-70.739
MELIPILLA;Changos;Otro;2;4725;0.00042328;-33.689;-71.208
CURACAVÍ;Changos;Otro;4;4725;0.000846561;-33.399;-71.137
PADRE HURTADO;Changos;Otro;2;4725;0.00042328;-33.576;-70.8
PEÑAFLOR;Changos;Otro;1;4725;0.00021164;-36.233;-72.333
VALDIVIA;Changos;Otro;4;4725;0.000846561;-39.8;-73.233
ARICA;Changos;Otro;22;4725;0.004656085;-18.455;-70.29
IQUIQUE;Chonos;Otro;3;311;0.009646302;-20.244;-70.139
ALTO HOSPICIO;Chonos;Otro;2;311;0.006430868;-20.257;-70.022
PICA;Chonos;Otro;1;311;0.003215434;-20.483;-69.378
ANTOFAGASTA;Chonos;Otro;2;311;0.006430868;-23.651;-70.395
MEJILLONES;Chonos;Otro;2;311;0.006430868;-23.11;-70.456
SAN PEDRO DE ATACAMA;Chonos;Otro;1;311;0.003215434;-22.92;-68.21
TOCOPILLA;Chonos;Otro;1;311;0.003215434;-22.082;-70.189
COPIAPÓ;Chonos;Otro;1;311;0.003215434;-27.375;-70.329
HUASCO;Chonos;Otro;4;311;0.012861736;-28.456;-71.186
LA SERENA;Chonos;Otro;5;311;0.01607717;-29.907;-71.247
COQUIMBO;Chonos;Otro;1;311;0.003215434;-29.971;-71.307
LOS VILOS;Chonos;Otro;2;311;0.006430868;-31.915;-71.506
SALAMANCA;Chonos;Otro;1;311;0.003215434;-31.78;-70.967
VALPARAÍSO;Chonos;Otro;15;311;0.048231511;-33.05;-71.616
CONCÓN;Chonos;Otro;3;311;0.009646302;-32.96;-71.469
VIÑA DEL MAR;Chonos;Otro;10;311;0.032154341;-33.025;-71.515
LOS ANDES;Chonos;Otro;2;311;0.006430868;-32.837;-70.597
LA LIGUA;Chonos;Otro;1;311;0.003215434;-34.583;-72
CALERA;Chonos;Otro;1;311;0.003215434;-32.784;-71.204
SAN ANTONIO;Chonos;Otro;1;311;0.003215434;-27.867;-70.05
ALGARROBO;Chonos;Otro;2;311;0.006430868;-30.503;-71.083
CARTAGENA;Chonos;Otro;1;311;0.003215434;-34.167;-71.75
SAN FELIPE;Chonos;Otro;1;311;0.003215434;-32.75;-70.713
PUTAENDO;Chonos;Otro;1;311;0.003215434;-32.628;-70.716
QUILPUÉ;Chonos;Otro;1;311;0.003215434;-33.125;-71.241
VILLA ALEMANA;Chonos;Otro;2;311;0.006430868;-33.066;-71.329
PEUMO;Chonos;Otro;1;311;0.003215434;-34.389;-71.171
SAN VICENTE;Chonos;Otro;1;311;0.003215434;-34.083;-71.75
SAN FERNANDO;Chonos;Otro;2;311;0.006430868;-34.584;-70.987
TALCA;Chonos;Otro;1;311;0.003215434;-35.423;-71.657
CURICÓ;Chonos;Otro;6;311;0.019292605;-34.976;-71.224
LINARES;Chonos;Otro;1;311;0.003215434;-35.85;-71.585
CONCEPCIÓN;Chonos;Otro;7;311;0.022508039;-36.815;-73.029
CHIGUAYANTE;Chonos;Otro;2;311;0.006430868;-36.909;-73.028
PENCO;Chonos;Otro;2;311;0.006430868;-36.742;-72.998
TALCAHUANO;Chonos;Otro;2;311;0.006430868;-36.736;-73.105
HUALPÉN;Chonos;Otro;1;311;0.003215434;-36.789;-73.11
NACIMIENTO;Chonos;Otro;2;311;0.006430868;-37.501;-72.676
TEMUCO;Chonos;Otro;6;311;0.019292605;-38.727;-72.599
PADRE LAS CASAS;Chonos;Otro;1;311;0.003215434;-38.766;-72.593
PUCÓN;Chonos;Otro;1;311;0.003215434;-39.282;-71.954
PURÉN;Chonos;Otro;1;311;0.003215434;-38.022;-73.07
PUERTO MONTT;Chonos;Otro;26;311;0.083601286;-41.454;-72.993
CALBUCO;Chonos;Otro;1;311;0.003215434;-41.758;-73.151
LOS MUERMOS;Chonos;Otro;1;311;0.003215434;-41.391;-73.465
PUERTO VARAS;Chonos;Otro;1;311;0.003215434;-41.323;-72.97
CASTRO;Chonos;Otro;15;311;0.048231511;-42.478;-73.779
ANCUD;Chonos;Otro;12;311;0.038585209;-41.877;-73.814
CHONCHI;Chonos;Otro;4;311;0.012861736;-42.626;-73.781
DALCAHUE;Chonos;Otro;2;311;0.006430868;-42.374;-73.651
QUEILÉN;Chonos;Otro;1;311;0.003215434;-42.874;-73.47
QUELLÓN;Chonos;Otro;9;311;0.028938907;-43.121;-73.608
QUINCHAO;Chonos;Otro;4;311;0.012861736;-42.479;-73.497
OSORNO;Chonos;Otro;2;311;0.006430868;-40.574;-73.126
PURRANQUE;Chonos;Otro;1;311;0.003215434;-40.909;-73.175
SAN PABLO;Chonos;Otro;1;311;0.003215434;-40.4;-73.017
CHAITÉN;Chonos;Otro;2;311;0.006430868;-42.899;-72.667
COYHAIQUE;Chonos;Otro;11;311;0.035369775;-45.564;-72.065
AYSÉN;Chonos;Otro;15;311;0.048231511;-45.412;-72.698
CISNES;Chonos;Otro;2;311;0.006430868;-44.751;-72.697
GUAITECAS;Chonos;Otro;5;311;0.01607717;-43.884;-73.95
COCHRANE;Chonos;Otro;2;311;0.006430868;-47.267;-72.55
PUNTA ARENAS;Chonos;Otro;4;311;0.012861736;-53.148;-70.907
PORVENIR;Chonos;Otro;1;311;0.003215434;-53.298;-70.385
SANTIAGO;Chonos;Otro;6;311;0.019292605;-33.425;-70.566
CERRO NAVIA;Chonos;Otro;1;311;0.003215434;-33.422;-70.735
ESTACIÓN CENTRAL;Chonos;Otro;1;311;0.003215434;-33.459;-70.699
HUECHURABA;Chonos;Otro;1;311;0.003215434;-33.368;-70.634
INDEPENDENCIA;Chonos;Otro;1;311;0.003215434;-33.413;-70.666
LA FLORIDA;Chonos;Otro;4;311;0.012861736;-33.525;-70.538
LAS CONDES;Chonos;Otro;3;311;0.009646302;-33.4;-70.503
MAIPÚ;Chonos;Otro;16;311;0.051446945;-33.49;-70.788
ÑUÑOA;Chonos;Otro;3;311;0.009646302;-33.454;-70.604
PEDRO AGUIRRE CERDA;Chonos;Otro;1;311;0.003215434;-33.583;-70.667
PROVIDENCIA;Chonos;Otro;5;311;0.01607717;-33.435;-70.616
QUILICURA;Chonos;Otro;4;311;0.012861736;-33.361;-70.729
RECOLETA;Chonos;Otro;1;311;0.003215434;-33.406;-70.64
RENCA;Chonos;Otro;1;311;0.003215434;-33.398;-70.723
SAN RAMÓN;Chonos;Otro;5;311;0.01607717;-25.351;-70.447
PUENTE ALTO;Chonos;Otro;11;311;0.035369775;-33.616;-70.57
LAMPA;Chonos;Otro;1;311;0.003215434;-33.286;-70.878
SAN BERNARDO;Chonos;Otro;1;311;0.003215434;-33.582;-70.687
BUIN;Chonos;Otro;1;311;0.003215434;-33.728;-70.739
VALDIVIA;Chonos;Otro;4;311;0.012861736;-39.8;-73.233
LOS LAGOS;Chonos;Otro;4;311;0.012861736;-41.92;-72.142
LA UNIÓN;Chonos;Otro;1;311;0.003215434;-40.292;-73.088
CHILLÁN;Chonos;Otro;4;311;0.012861736;-36.601;-72.109
CHILLÁN VIEJO;Chonos;Otro;4;311;0.012861736;-36.633;-72.14
SAN FABIÁN;Chonos;Otro;1;311;0.003215434;-36.554;-71.549
IQUIQUE;Ona;Otro;5;1144;0.004370629;-20.244;-70.139
PICA;Ona;Otro;1;1144;0.000874126;-20.483;-69.378
ANTOFAGASTA;Ona;Otro;17;1144;0.01486014;-23.651;-70.395
SIERRA GORDA;Ona;Otro;1;1144;0.000874126;-22.898;-69.323
TALTAL;Ona;Otro;1;1144;0.000874126;-25.41;-70.489
CALAMA;Ona;Otro;4;1144;0.003496503;-22.474;-68.924
SAN PEDRO DE ATACAMA;Ona;Otro;4;1144;0.003496503;-22.92;-68.21
TOCOPILLA;Ona;Otro;1;1144;0.000874126;-22.082;-70.189
COPIAPÓ;Ona;Otro;7;1144;0.006118881;-27.375;-70.329
CHAÑARAL;Ona;Otro;1;1144;0.000874126;-26.346;-70.624
DIEGO DE ALMAGRO;Ona;Otro;4;1144;0.003496503;-26.39;-70.052
VALLENAR;Ona;Otro;3;1144;0.002622378;-28.577;-70.77
LA SERENA;Ona;Otro;8;1144;0.006993007;-29.907;-71.247
COQUIMBO;Ona;Otro;8;1144;0.006993007;-29.971;-71.307
ILLAPEL;Ona;Otro;1;1144;0.000874126;-31.639;-71.179
LOS VILOS;Ona;Otro;1;1144;0.000874126;-31.915;-71.506
MONTE PATRIA;Ona;Otro;1;1144;0.000874126;-30.775;-70.943
VALPARAÍSO;Ona;Otro;32;1144;0.027972028;-33.05;-71.616
CASABLANCA;Ona;Otro;1;1144;0.000874126;-33.325;-71.41
CONCÓN;Ona;Otro;6;1144;0.005244755;-32.96;-71.469
QUINTERO;Ona;Otro;5;1144;0.004370629;-32.845;-71.467
VIÑA DEL MAR;Ona;Otro;50;1144;0.043706294;-33.025;-71.515
ISLA DE PASCUA;Ona;Otro;2;1144;0.001748252;-27.121;-109.366
LOS ANDES;Ona;Otro;4;1144;0.003496503;-32.837;-70.597
QUILLOTA;Ona;Otro;10;1144;0.008741259;-32.915;-71.264
CALERA;Ona;Otro;2;1144;0.001748252;-32.784;-71.204
SAN ANTONIO;Ona;Otro;10;1144;0.008741259;-27.867;-70.05
CARTAGENA;Ona;Otro;4;1144;0.003496503;-34.167;-71.75
EL QUISCO;Ona;Otro;2;1144;0.001748252;-33.409;-71.649
SAN FELIPE;Ona;Otro;2;1144;0.001748252;-32.75;-70.713
CATEMU;Ona;Otro;1;1144;0.000874126;-32.781;-70.969
LLAILLAY;Ona;Otro;1;1144;0.000874126;-32.844;-70.957
PUTAENDO;Ona;Otro;1;1144;0.000874126;-32.628;-70.716
QUILPUÉ;Ona;Otro;18;1144;0.015734266;-33.125;-71.241
LIMACHE;Ona;Otro;3;1144;0.002622378;-33.003;-71.261
VILLA ALEMANA;Ona;Otro;14;1144;0.012237762;-33.066;-71.329
RANCAGUA;Ona;Otro;8;1144;0.006993007;-34.162;-70.741
GRANEROS;Ona;Otro;2;1144;0.001748252;-34.063;-70.721
MACHALÍ;Ona;Otro;2;1144;0.001748252;-34.185;-70.662
MOSTAZAL;Ona;Otro;5;1144;0.004370629;-33.977;-70.709
PICHIDEGUA;Ona;Otro;5;1144;0.004370629;-34.357;-71.287
RENGO;Ona;Otro;2;1144;0.001748252;-34.402;-70.856
PICHILEMU;Ona;Otro;1;1144;0.000874126;-34.402;-72.009
SAN FERNANDO;Ona;Otro;6;1144;0.005244755;-34.584;-70.987
PALMILLA;Ona;Otro;2;1144;0.001748252;-34.604;-71.358
SANTA CRUZ;Ona;Otro;1;1144;0.000874126;-34.631;-71.359
TALCA;Ona;Otro;2;1144;0.001748252;-35.423;-71.657
CONSTITUCIÓN;Ona;Otro;2;1144;0.001748252;-35.339;-72.414
MAULE;Ona;Otro;2;1144;0.001748252;-35.516;-71.572
CURICÓ;Ona;Otro;4;1144;0.003496503;-34.976;-71.224
LINARES;Ona;Otro;1;1144;0.000874126;-35.85;-71.585
PARRAL;Ona;Otro;1;1144;0.000874126;-36.147;-71.822
CONCEPCIÓN;Ona;Otro;19;1144;0.016608392;-36.815;-73.029
CORONEL;Ona;Otro;5;1144;0.004370629;-36.982;-73.157
CHIGUAYANTE;Ona;Otro;4;1144;0.003496503;-36.909;-73.028
LOTA;Ona;Otro;1;1144;0.000874126;-37.089;-73.155
SAN PEDRO DE LA PAZ;Ona;Otro;5;1144;0.004370629;-36.864;-73.108
TALCAHUANO;Ona;Otro;11;1144;0.009615385;-36.736;-73.105
HUALPÉN;Ona;Otro;3;1144;0.002622378;-36.789;-73.11
LOS ÁLAMOS;Ona;Otro;1;1144;0.000874126;-37.621;-73.456
LOS ÁNGELES;Ona;Otro;2;1144;0.001748252;-36.944;-72.351
CABRERO;Ona;Otro;2;1144;0.001748252;-37.039;-72.399
YUMBEL;Ona;Otro;1;1144;0.000874126;-37.096;-72.556
TEMUCO;Ona;Otro;19;1144;0.016608392;-38.727;-72.599
CURARREHUE;Ona;Otro;2;1144;0.001748252;-39.359;-71.588
PUCÓN;Ona;Otro;1;1144;0.000874126;-39.282;-71.954
VILLARRICA;Ona;Otro;3;1144;0.002622378;-39.28;-72.218
ANGOL;Ona;Otro;2;1144;0.001748252;-37.803;-72.702
COLLIPULLI;Ona;Otro;1;1144;0.000874126;-37.953;-72.432
CURACAUTÍN;Ona;Otro;3;1144;0.002622378;-38.432;-71.89
PUERTO MONTT;Ona;Otro;21;1144;0.018356643;-41.454;-72.993
CALBUCO;Ona;Otro;3;1144;0.002622378;-41.758;-73.151
LOS MUERMOS;Ona;Otro;3;1144;0.002622378;-41.391;-73.465
LLANQUIHUE;Ona;Otro;3;1144;0.002622378;-41.266;-73.012
PUERTO VARAS;Ona;Otro;4;1144;0.003496503;-41.323;-72.97
CASTRO;Ona;Otro;10;1144;0.008741259;-42.478;-73.779
ANCUD;Ona;Otro;4;1144;0.003496503;-41.877;-73.814
CHONCHI;Ona;Otro;1;1144;0.000874126;-42.626;-73.781
DALCAHUE;Ona;Otro;2;1144;0.001748252;-42.374;-73.651
QUELLÓN;Ona;Otro;2;1144;0.001748252;-43.121;-73.608
OSORNO;Ona;Otro;7;1144;0.006118881;-40.574;-73.126
RÍO NEGRO;Ona;Otro;1;1144;0.000874126;-41.967;-72.45
COYHAIQUE;Ona;Otro;6;1144;0.005244755;-45.564;-72.065
AYSÉN;Ona;Otro;8;1144;0.006993007;-45.412;-72.698
RÍO IBÁÑEZ;Ona;Otro;1;1144;0.000874126;-46.255;-71.95
PUNTA ARENAS;Ona;Otro;52;1144;0.045454545;-53.148;-70.907
CABO DE HORNOS;Ona;Otro;1;1144;0.000874126;-54.947;-67.607
PORVENIR;Ona;Otro;2;1144;0.001748252;-53.298;-70.385
PRIMAVERA;Ona;Otro;3;1144;0.002622378;-52.886;-69.353
NATALES;Ona;Otro;1;1144;0.000874126;-51.733;-72.517
SANTIAGO;Ona;Otro;82;1144;0.071678322;-33.425;-70.566
CERRILLOS;Ona;Otro;5;1144;0.004370629;-34.533;-71.683
CERRO NAVIA;Ona;Otro;14;1144;0.012237762;-33.422;-70.735
CONCHALÍ;Ona;Otro;7;1144;0.006118881;-33.38;-70.675
EL BOSQUE;Ona;Otro;9;1144;0.007867133;-41.667;-73.317
ESTACIÓN CENTRAL;Ona;Otro;19;1144;0.016608392;-33.459;-70.699
HUECHURABA;Ona;Otro;2;1144;0.001748252;-33.368;-70.634
INDEPENDENCIA;Ona;Otro;5;1144;0.004370629;-33.413;-70.666
LA CISTERNA;Ona;Otro;4;1144;0.003496503;-33.529;-70.663
LA FLORIDA;Ona;Otro;22;1144;0.019230769;-33.525;-70.538
LA GRANJA;Ona;Otro;6;1144;0.005244755;-20.9;-69.617
LA PINTANA;Ona;Otro;6;1144;0.005244755;-33.583;-70.634
LA REINA;Ona;Otro;8;1144;0.006993007;-33.443;-70.532
LAS CONDES;Ona;Otro;22;1144;0.019230769;-33.4;-70.503
LO ESPEJO;Ona;Otro;9;1144;0.007867133;-33.522;-70.687
LO PRADO;Ona;Otro;4;1144;0.003496503;-33.445;-70.726
MACUL;Ona;Otro;20;1144;0.017482517;-33.487;-70.604
MAIPÚ;Ona;Otro;58;1144;0.050699301;-33.49;-70.788
ÑUÑOA;Ona;Otro;19;1144;0.016608392;-33.454;-70.604
PEDRO AGUIRRE CERDA;Ona;Otro;8;1144;0.006993007;-33.583;-70.667
PEÑALOLÉN;Ona;Otro;17;1144;0.01486014;-33.482;-70.538
PROVIDENCIA;Ona;Otro;22;1144;0.019230769;-33.435;-70.616
PUDAHUEL;Ona;Otro;15;1144;0.013111888;-33.411;-70.836
QUILICURA;Ona;Otro;12;1144;0.01048951;-33.361;-70.729
QUINTA NORMAL;Ona;Otro;11;1144;0.009615385;-33.427;-70.699
RECOLETA;Ona;Otro;16;1144;0.013986014;-33.406;-70.64
RENCA;Ona;Otro;7;1144;0.006118881;-33.398;-70.723
SAN JOAQUÍN;Ona;Otro;15;1144;0.013111888;-33.491;-70.628
SAN MIGUEL;Ona;Otro;11;1144;0.009615385;-36.818;-71.966
SAN RAMÓN;Ona;Otro;2;1144;0.001748252;-25.351;-70.447
VITACURA;Ona;Otro;6;1144;0.005244755;-33.378;-70.562
PUENTE ALTO;Ona;Otro;51;1144;0.04458042;-33.616;-70.57
PIRQUE;Ona;Otro;3;1144;0.002622378;-33.65;-70.564
SAN JOSÉ DE MAIPO;Ona;Otro;1;1144;0.000874126;-33.644;-70.353
COLINA;Ona;Otro;4;1144;0.003496503;-33.194;-70.668
LAMPA;Ona;Otro;10;1144;0.008741259;-33.286;-70.878
SAN BERNARDO;Ona;Otro;15;1144;0.013111888;-33.582;-70.687
BUIN;Ona;Otro;3;1144;0.002622378;-33.728;-70.739
PAINE;Ona;Otro;10;1144;0.008741259;-33.812;-70.723
MELIPILLA;Ona;Otro;6;1144;0.005244755;-33.689;-71.208
CURACAVÍ;Ona;Otro;1;1144;0.000874126;-33.399;-71.137
TALAGANTE;Ona;Otro;6;1144;0.005244755;-33.667;-70.931
EL MONTE;Ona;Otro;1;1144;0.000874126;-33.684;-71.017
PADRE HURTADO;Ona;Otro;13;1144;0.011363636;-33.576;-70.8
PEÑAFLOR;Ona;Otro;5;1144;0.004370629;-36.233;-72.333
VALDIVIA;Ona;Otro;19;1144;0.016608392;-39.8;-73.233
FUTRONO;Ona;Otro;1;1144;0.000874126;-40.131;-72.396
RÍO BUENO;Ona;Otro;2;1144;0.001748252;-40.338;-72.957
ARICA;Ona;Otro;13;1144;0.011363636;-18.455;-70.29
CHILLÁN;Ona;Otro;11;1144;0.009615385;-36.601;-72.109
CHILLÁN VIEJO;Ona;Otro;1;1144;0.000874126;-36.633;-72.14
PINTO;Ona;Otro;1;1144;0.000874126;-36.7;-71.9
NINHUE;Ona;Otro;1;1144;0.000874126;-36.401;-72.397
ÑIQUÉN;Ona;Otro;1;1144;0.000874126;-36.287;-71.899
IQUIQUE;Tehuelches;Otro;2;426;0.004694836;-20.244;-70.139
POZO ALMONTE;Tehuelches;Otro;1;426;0.002347418;-20.291;-69.696
ANTOFAGASTA;Tehuelches;Otro;3;426;0.007042254;-23.651;-70.395
LA SERENA;Tehuelches;Otro;1;426;0.002347418;-29.907;-71.247
COQUIMBO;Tehuelches;Otro;1;426;0.002347418;-29.971;-71.307
ILLAPEL;Tehuelches;Otro;1;426;0.002347418;-31.639;-71.179
VALPARAÍSO;Tehuelches;Otro;7;426;0.016431925;-33.05;-71.616
VIÑA DEL MAR;Tehuelches;Otro;13;426;0.030516432;-33.025;-71.515
ISLA DE PASCUA;Tehuelches;Otro;1;426;0.002347418;-27.121;-109.366
RINCONADA;Tehuelches;Otro;1;426;0.002347418;-19.883;-68.867
CALERA;Tehuelches;Otro;1;426;0.002347418;-32.784;-71.204
SAN ANTONIO;Tehuelches;Otro;3;426;0.007042254;-27.867;-70.05
QUILPUÉ;Tehuelches;Otro;2;426;0.004694836;-33.125;-71.241
MACHALÍ;Tehuelches;Otro;1;426;0.002347418;-34.185;-70.662
OLIVAR;Tehuelches;Otro;1;426;0.002347418;-34.214;-70.819
PICHILEMU;Tehuelches;Otro;1;426;0.002347418;-34.402;-72.009
TALCA;Tehuelches;Otro;1;426;0.002347418;-35.423;-71.657
MAULE;Tehuelches;Otro;1;426;0.002347418;-35.516;-71.572
CURICÓ;Tehuelches;Otro;1;426;0.002347418;-34.976;-71.224
TENO;Tehuelches;Otro;3;426;0.007042254;-34.873;-71.162
LINARES;Tehuelches;Otro;1;426;0.002347418;-35.85;-71.585
LONGAVÍ;Tehuelches;Otro;1;426;0.002347418;-35.966;-71.682
CONCEPCIÓN;Tehuelches;Otro;2;426;0.004694836;-36.815;-73.029
CHIGUAYANTE;Tehuelches;Otro;5;426;0.011737089;-36.909;-73.028
HUALQUI;Tehuelches;Otro;3;426;0.007042254;-36.967;-72.933
TALCAHUANO;Tehuelches;Otro;5;426;0.011737089;-36.736;-73.105
TOMÉ;Tehuelches;Otro;1;426;0.002347418;-36.624;-72.95
HUALPÉN;Tehuelches;Otro;2;426;0.004694836;-36.789;-73.11
ALTO BIOBÍO;Tehuelches;Otro;2;426;0.004694836;-33.619;-70.591
TEMUCO;Tehuelches;Otro;16;426;0.037558685;-38.727;-72.599
PUERTO MONTT;Tehuelches;Otro;8;426;0.018779343;-41.454;-72.993
COCHAMÓ;Tehuelches;Otro;1;426;0.002347418;-41.5;-72.317
LLANQUIHUE;Tehuelches;Otro;1;426;0.002347418;-41.266;-73.012
PUERTO VARAS;Tehuelches;Otro;4;426;0.009389671;-41.323;-72.97
CASTRO;Tehuelches;Otro;1;426;0.002347418;-42.478;-73.779
ANCUD;Tehuelches;Otro;4;426;0.009389671;-41.877;-73.814
DALCAHUE;Tehuelches;Otro;1;426;0.002347418;-42.374;-73.651
QUEILÉN;Tehuelches;Otro;1;426;0.002347418;-42.874;-73.47
QUELLÓN;Tehuelches;Otro;2;426;0.004694836;-43.121;-73.608
QUINCHAO;Tehuelches;Otro;1;426;0.002347418;-42.479;-73.497
OSORNO;Tehuelches;Otro;5;426;0.011737089;-40.574;-73.126
COYHAIQUE;Tehuelches;Otro;103;426;0.241784038;-45.564;-72.065
LAGO VERDE;Tehuelches;Otro;2;426;0.004694836;-44.219;-71.839
AYSÉN;Tehuelches;Otro;13;426;0.030516432;-45.412;-72.698
CISNES;Tehuelches;Otro;9;426;0.021126761;-44.751;-72.697
COCHRANE;Tehuelches;Otro;4;426;0.009389671;-47.267;-72.55
O'HIGGINS;Tehuelches;Otro;10;426;0.023474178;-48.8;-73.183
TORTEL;Tehuelches;Otro;1;426;0.002347418;-47.781;-73.512
CHILE CHICO;Tehuelches;Otro;25;426;0.058685446;-46.55;-71.733
RÍO IBÁÑEZ;Tehuelches;Otro;29;426;0.068075117;-46.255;-71.95
PUNTA ARENAS;Tehuelches;Otro;17;426;0.039906103;-53.148;-70.907
SAN GREGORIO;Tehuelches;Otro;1;426;0.002347418;-52.567;-70.067
