Comunas;etnia;etnia2;frec;n;perc;lat;long
CURACAUTÍN;Pehuenche;Mapuche;46;6822;0.006742891;-38.432;-71.89
PUENTE ALTO;Pehuenche;Mapuche;44;6822;0.006449721;-33.616;-70.57
SANTIAGO;Pehuenche;Mapuche;43;6822;0.006303137;-33.425;-70.566
LA FLORIDA;Pehuenche;Mapuche;43;6822;0.006303137;-33.525;-70.538
CONCEPCIÓN;Pehuenche;Mapuche;41;6822;0.006009968;-36.815;-73.029
QUILACO;Pehuenche;Mapuche;38;6822;0.005570214;-37.68;-72.007
TEMUCO;Pehuenche;Mapuche;37;6822;0.005423629;-38.727;-72.599
TALCA;Pehuenche;Mapuche;31;6822;0.004544122;-35.423;-71.657
MAIPÚ;Pehuenche;Mapuche;30;6822;0.004397537;-33.49;-70.788
PEÑALOLÉN;Pehuenche;Mapuche;30;6822;0.004397537;-33.482;-70.538
RANCAGUA;Pehuenche;Mapuche;29;6822;0.004250953;-34.162;-70.741
LA CISTERNA;Pehuenche;Mapuche;25;6822;0.003664614;-33.529;-70.663
QUILLECO;Pehuenche;Mapuche;22;6822;0.003224861;-37.467;-71.967
CHILLÁN;Pehuenche;Mapuche;22;6822;0.003224861;-36.601;-72.109
MULCHÉN;Pehuenche;Mapuche;21;6822;0.003078276;-37.715;-72.239
RÍO CLARO;Pehuenche;Mapuche;20;6822;0.002931692;-35.217;-71.25
PUERTO MONTT;Pehuenche;Mapuche;20;6822;0.002931692;-41.454;-72.993
PUDAHUEL;Pehuenche;Mapuche;20;6822;0.002931692;-33.411;-70.836
LA SERENA;Pehuenche;Mapuche;18;6822;0.002638522;-29.907;-71.247
VALPARAÍSO;Pehuenche;Mapuche;18;6822;0.002638522;-33.05;-71.616
CONCHALÍ;Pehuenche;Mapuche;18;6822;0.002638522;-33.38;-70.675
CORONEL;Pehuenche;Mapuche;17;6822;0.002491938;-36.982;-73.157
TALCAHUANO;Pehuenche;Mapuche;17;6822;0.002491938;-36.736;-73.105
RENCA;Pehuenche;Mapuche;17;6822;0.002491938;-33.398;-70.723
SAN RAMÓN;Pehuenche;Mapuche;17;6822;0.002491938;-25.351;-70.447
VIÑA DEL MAR;Pehuenche;Mapuche;16;6822;0.002345353;-33.025;-71.515
BUIN;Pehuenche;Mapuche;16;6822;0.002345353;-33.728;-70.739
ANTUCO;Pehuenche;Mapuche;15;6822;0.002198769;-37.327;-71.678
LA PINTANA;Pehuenche;Mapuche;15;6822;0.002198769;-33.583;-70.634
RECOLETA;Pehuenche;Mapuche;15;6822;0.002198769;-33.406;-70.64
LAMPA;Pehuenche;Mapuche;15;6822;0.002198769;-33.286;-70.878
ESTACIÓN CENTRAL;Pehuenche;Mapuche;14;6822;0.002052184;-33.459;-70.699
PROVIDENCIA;Pehuenche;Mapuche;14;6822;0.002052184;-33.435;-70.616
SAN BERNARDO;Pehuenche;Mapuche;14;6822;0.002052184;-33.582;-70.687
SAN CLEMENTE;Pehuenche;Mapuche;13;6822;0.0019056;-35.534;-71.486
SAN PEDRO DE LA PAZ;Pehuenche;Mapuche;13;6822;0.0019056;-36.864;-73.108
CERRO NAVIA;Pehuenche;Mapuche;13;6822;0.0019056;-33.422;-70.735
MELIPILLA;Pehuenche;Mapuche;13;6822;0.0019056;-33.689;-71.208
CHIGUAYANTE;Pehuenche;Mapuche;12;6822;0.001759015;-36.909;-73.028
LA GRANJA;Pehuenche;Mapuche;12;6822;0.001759015;-20.9;-69.617
MACUL;Pehuenche;Mapuche;12;6822;0.001759015;-33.487;-70.604
ÑUÑOA;Pehuenche;Mapuche;12;6822;0.001759015;-33.454;-70.604
QUILICURA;Pehuenche;Mapuche;12;6822;0.001759015;-33.361;-70.729
CALAMA;Pehuenche;Mapuche;11;6822;0.00161243;-22.474;-68.924
LAS CONDES;Pehuenche;Mapuche;11;6822;0.00161243;-33.4;-70.503
COLINA;Pehuenche;Mapuche;11;6822;0.00161243;-33.194;-70.668
PEÑAFLOR;Pehuenche;Mapuche;11;6822;0.00161243;-36.233;-72.333
CURICÓ;Pehuenche;Mapuche;10;6822;0.001465846;-34.976;-71.224
CHAITÉN;Pehuenche;Mapuche;10;6822;0.001465846;-42.899;-72.667
COYHAIQUE;Pehuenche;Mapuche;10;6822;0.001465846;-45.564;-72.065
CERRILLOS;Pehuenche;Mapuche;10;6822;0.001465846;-34.533;-71.683
EL BOSQUE;Pehuenche;Mapuche;10;6822;0.001465846;-41.667;-73.317
LO PRADO;Pehuenche;Mapuche;10;6822;0.001465846;-33.445;-70.726
QUINTA NORMAL;Pehuenche;Mapuche;10;6822;0.001465846;-33.427;-70.699
VALDIVIA;Pehuenche;Mapuche;10;6822;0.001465846;-39.8;-73.233
SAN MIGUEL;Pehuenche;Mapuche;9;6822;0.001319261;-36.818;-71.966
IQUIQUE;Pehuenche;Mapuche;8;6822;0.001172677;-20.244;-70.139
ALTO HOSPICIO;Pehuenche;Mapuche;8;6822;0.001172677;-20.257;-70.022
COQUIMBO;Pehuenche;Mapuche;8;6822;0.001172677;-29.971;-71.307
SAN FERNANDO;Pehuenche;Mapuche;8;6822;0.001172677;-34.584;-70.987
LINARES;Pehuenche;Mapuche;8;6822;0.001172677;-35.85;-71.585
NACIMIENTO;Pehuenche;Mapuche;8;6822;0.001172677;-37.501;-72.676
OSORNO;Pehuenche;Mapuche;8;6822;0.001172677;-40.574;-73.126
SAN JOAQUÍN;Pehuenche;Mapuche;8;6822;0.001172677;-33.491;-70.628
SAN ANTONIO;Pehuenche;Mapuche;7;6822;0.001026092;-27.867;-70.05
SAN FELIPE;Pehuenche;Mapuche;7;6822;0.001026092;-32.75;-70.713
TOMÉ;Pehuenche;Mapuche;7;6822;0.001026092;-36.624;-72.95
CARAHUE;Pehuenche;Mapuche;7;6822;0.001026092;-38.707;-73.16
MELIPEUCO;Pehuenche;Mapuche;7;6822;0.001026092;-38.843;-71.687
PUNTA ARENAS;Pehuenche;Mapuche;7;6822;0.001026092;-53.148;-70.907
CURACAVÍ;Pehuenche;Mapuche;7;6822;0.001026092;-33.399;-71.137
COIHUECO;Pehuenche;Mapuche;7;6822;0.001026092;-35.783;-72.433
ANTOFAGASTA;Pehuenche;Mapuche;6;6822;0.000879507;-23.651;-70.395
QUILPUÉ;Pehuenche;Mapuche;6;6822;0.000879507;-33.125;-71.241
CODEGUA;Pehuenche;Mapuche;6;6822;0.000879507;-34.033;-70.667
SAN VICENTE;Pehuenche;Mapuche;6;6822;0.000879507;-34.083;-71.75
PALMILLA;Pehuenche;Mapuche;6;6822;0.000879507;-34.604;-71.358
PENCO;Pehuenche;Mapuche;6;6822;0.000879507;-36.742;-72.998
YUMBEL;Pehuenche;Mapuche;6;6822;0.000879507;-37.096;-72.556
PADRE LAS CASAS;Pehuenche;Mapuche;6;6822;0.000879507;-38.766;-72.593
HUECHURABA;Pehuenche;Mapuche;6;6822;0.000879507;-33.368;-70.634
PAINE;Pehuenche;Mapuche;6;6822;0.000879507;-33.812;-70.723
VILLA ALEMANA;Pehuenche;Mapuche;5;6822;0.000732923;-33.066;-71.329
GRANEROS;Pehuenche;Mapuche;5;6822;0.000732923;-34.063;-70.721
LAUTARO;Pehuenche;Mapuche;5;6822;0.000732923;-38.529;-72.427
VILCÚN;Pehuenche;Mapuche;5;6822;0.000732923;-38.65;-72.233
CASTRO;Pehuenche;Mapuche;5;6822;0.000732923;-42.478;-73.779
LA REINA;Pehuenche;Mapuche;5;6822;0.000732923;-33.443;-70.532
VITACURA;Pehuenche;Mapuche;5;6822;0.000732923;-33.378;-70.562
SAN JOSÉ DE MAIPO;Pehuenche;Mapuche;5;6822;0.000732923;-33.644;-70.353
FUTRONO;Pehuenche;Mapuche;5;6822;0.000732923;-40.131;-72.396
ARICA;Pehuenche;Mapuche;5;6822;0.000732923;-18.455;-70.29
LOS ANDES;Pehuenche;Mapuche;4;6822;0.000586338;-32.837;-70.597
QUILLOTA;Pehuenche;Mapuche;4;6822;0.000586338;-32.915;-71.264
NOGALES;Pehuenche;Mapuche;4;6822;0.000586338;-32.736;-71.208
MACHALÍ;Pehuenche;Mapuche;4;6822;0.000586338;-34.185;-70.662
QUINTA DE TILCOCO;Pehuenche;Mapuche;4;6822;0.000586338;-34.357;-70.969
MAULE;Pehuenche;Mapuche;4;6822;0.000586338;-35.516;-71.572
LOTA;Pehuenche;Mapuche;4;6822;0.000586338;-37.089;-73.155
HUALPÉN;Pehuenche;Mapuche;4;6822;0.000586338;-36.789;-73.11
CURARREHUE;Pehuenche;Mapuche;4;6822;0.000586338;-39.359;-71.588
NUEVA IMPERIAL;Pehuenche;Mapuche;4;6822;0.000586338;-38.745;-72.95
PUCÓN;Pehuenche;Mapuche;4;6822;0.000586338;-39.282;-71.954
CHOLCHOL;Pehuenche;Mapuche;4;6822;0.000586338;-38.6;-72.85
PUERTO VARAS;Pehuenche;Mapuche;4;6822;0.000586338;-41.323;-72.97
LO BARNECHEA;Pehuenche;Mapuche;4;6822;0.000586338;-33.352;-70.336
PIRQUE;Pehuenche;Mapuche;4;6822;0.000586338;-33.65;-70.564
PADRE HURTADO;Pehuenche;Mapuche;4;6822;0.000586338;-33.576;-70.8
TREGUACO;Pehuenche;Mapuche;4;6822;0.000586338;-36.429;-72.665
SAN PEDRO DE ATACAMA;Pehuenche;Mapuche;3;6822;0.000439754;-22.92;-68.21
TOCOPILLA;Pehuenche;Mapuche;3;6822;0.000439754;-22.082;-70.189
LOS VILOS;Pehuenche;Mapuche;3;6822;0.000439754;-31.915;-71.506
RINCONADA;Pehuenche;Mapuche;3;6822;0.000439754;-19.883;-68.867
